channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score
modestal,316203420,55455,25985,5660,323364,193939,11440074,True,False,Russian,0.21781797190686936,977.8559765465543,35.378316695736075,0.5997544562783736,6.1238842304571275,1.0074173405807976,0.4592108065502878,0.16164957627048693,0.054305210639336444,0.5972319280615681,0.06312636269093376,0.1957112712236712,0.2552058592393807
소풍왔니 (yumyumyu77),315613800,66315,24521,4496,309322,46911,13030325,True,False,Korean,0.18335304432935035,1020.3406159277388,42.125438863061795,0.15165749607205437,4.0678579506898895,1.0585659192095958,0.38113592704930327,0.16960618792284463,0.06555481350350714,0.1383098632583107,0.04173992815407294,0.25858547145111405,0.1758220318898588
XEWER,315398565,189315,17100,1660,455056,215059,6449741,True,False,French,0.09707602339181287,693.0983549277452,14.173510512991808,0.4725989768292254,0.5261072815149355,1.0036137418702622,0.1856888889479958,0.10831957645711185,0.01895004106455254,0.46700463271686665,0.004899242031730037,0.19103571164172034,0.16264968214332953
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,True,False,Portuguese,0.13883027647026996,652.7312103654932,17.387726864442467,0.8351370469712339,1.0064718572269071,0.8016290694444848,0.2802765903270805,0.10075953363987972,0.024309164047155274,0.8383008799459332,0.009895912382390166,0.0,0.2089236800570731
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,True,False,English,0.2298682697925108,243.08173661481698,8.763253190719544,0.3320646544830017,120.32059186189889,1.054969118259917,0.48650886348820843,0.02403952792246389,0.009929417936772687,0.3230752890383018,1.0,0.25416411724830085,0.34961953593900796
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,True,True,Russian,0.23409947043729867,563.4424058314456,22.439847010987982,0.16604241771618522,3.6587030716723548,1.0376960288415007,0.49609398389048615,0.08403734056189568,0.03273265836980805,0.15304229514072745,0.03748396891772682,0.23293123626207216,0.17272024719045273
연두는말안드뤄 (rudbeckia7),311520135,126300,7111,2478,212053,24606,9675073,True,False,Korean,0.34847419490929543,1469.067332223548,45.625730359862864,0.11603702847872938,1.1771971496437055,0.9953629469018574,0.7551919556191207,0.2536446609240927,0.0713909149214622,0.10182887813924299,0.011671767742795205,0.18089345258416406,0.22910360498847962
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,True,False,English,0.1507309414732074,3325.5622970432405,297.26166467270554,0.9947017603828405,36.37577639751553,1.375751209173011,0.3072356774743285,0.60133290036269,0.4909482101906595,1.0,0.37780138305118505,0.6484843105780121,0.5709670802761458
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,True,False,English,0.1568192325473879,5103.036302818634,114.87302211946809,0.6204437011166314,0.5701319438608287,1.0281070967593597,0.32102774452319766,0.934221930188817,0.18684821840522048,0.618420982671583,0.0053571790574058155,0.22114407712955167,0.38117002199596267
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,True,True,German,0.24166048925129727,1521.6018018987434,24.070858054008053,0.16921903047674014,1.6835461196385024,1.014013651062142,0.5132222842903593,0.26348342570252725,0.03545207355839135,0.15629564835803786,0.0169387233289984,0.20381976137305186,0.19820198610189432
Overpow,309892665,153015,10858,2004,254516,29344,9020762,True,True,Polish,0.18456437649659238,1217.576360621729,35.44280909648116,0.11529334108661145,0.7858053132045878,1.0106006494999413,0.3838800097919804,0.20654490853697482,0.05441274002418331,0.10106722478323324,0.007600576644394193,0.1996243418843554,0.15885496694418688
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,True,False,Chinese,0.3805190776548444,1540.4555791652774,52.790985951939014,0.11846551183610098,2.671991286984934,1.0179626026975621,0.8277846037062117,0.2670144003341796,0.08333767945782806,0.10431602867959072,0.027220361298686258,0.20867399549783155,0.25305784482905463
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,True,True,English,0.29699420201403726,919.4966848215694,12.500272174810593,0.19941638581597412,2.885306651843617,0.9808334119844053,0.6385721184536843,0.15071992670005882,0.016160219517701205,0.18722250994062506,0.0294392313253735,0.16303307577406126,0.19752451361858403
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,True,True,Chinese,0.27808370044052866,2829.6783534343285,107.60458339461685,0.11147779085159583,0.4530841121495327,1.012755041485457,0.5957333476965416,0.5084627237199021,0.17472941470353137,0.09715949867099252,0.0041396674841303405,0.20227262022750842,0.2637495454171011
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,True,False,Russian,0.09462831144052249,1237.857091071666,54.04416840867257,0.28924547984710625,5.603476371537208,1.0788240434428495,0.1801439820213736,0.21034312592958282,0.08542713398451052,0.2792216908616291,0.057713168941037354,0.2834876953920325,0.18272279952169435
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,True,False,English,0.013206349206349206,2506.42191760691,41.35684894600199,0.7009127573763532,0.6218236173393124,1.3073967396164705,0.0,0.44792258588497563,0.06427332917316549,0.7008340064833883,0.00589486702464013,0.5644598328593132,0.2972307702375805
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,True,False,English,0.084501890013413,831.1488654735115,28.914981598979615,0.01661101678162227,0.8546762589928057,1.0115044142793372,0.1572041649879709,0.13417396328542125,0.04352877126068123,9.376814899599952e-07,0.008316960470849058,0.2007352913813226,0.0906600148446225
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,True,False,Russian,0.08750769511388769,448.2018644045459,19.839734719189806,0.26638492661433094,2.940432867266807,1.0183104788165083,0.16401334427596345,0.062454852206178024,0.028397442560817922,0.25580887349438003,0.03001264481187155,0.20910162092444803,0.12496479637894319
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,True,True,English,0.2848239967127791,786.9050961998364,19.916125365795956,0.4440544335241387,3.447161210111894,1.016408376244449,0.6110024301013499,0.12588789812693824,0.028524810113315792,0.4377705117212571,0.035283546569730054,0.2067634684053581,0.2408721108396582
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,True,False,French,0.04832065906210393,353.9968518749913,9.476904494148028,0.3018705948232376,0.6982067913010301,1.0631795418675973,0.07524126979931667,0.04481194146665281,0.011119302090041295,0.292151802752049,0.0066893917667241,0.26425674996069387,0.11571174297257962
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,True,False,Turkish,0.09483034009895204,192.11317555954864,7.223344532610458,0.36028391965028483,36.522130532633156,1.2516443135925712,0.1806016462113579,0.014494029768233229,0.007361899456861793,0.3519762738426562,0.37932373379188,0.4959263703278891,0.23828065889981306
